# ind calculated fitted
0 11484.0343139311007690 11481.1986374872103625
1 15676.7532755221000116 15684.8759596576528565
2 16946.6625061535014538 16939.2168612403474981
3 6061.4471634686997277 6062.1437137028951838
4 21009.9203242278999824 21005.6949073214746022
5 16118.4292417481992743 16125.9557397977987421
6 13231.2589301994994457 13230.9695156208945264
7 8307.8522643996002444 8307.5349158457902377
8 9870.9378582262997952 9866.2790842206068191
9 18527.5386161757014634 18533.2626930830301717
10 8589.7058008844996948 8583.8104197567336087
11 17949.8419314663005935 17948.7439402172967675
12 9099.3331042058998719 9097.7842669969413691
13 9710.8233847282008355 9705.5931964653755131
14 17987.3749257525014400 17984.8488801367493579
15 6063.7362416995001695 6065.0597001978967455
16 6455.5059917345997746 6457.7979486063086370
17 6170.8720454029999019 6171.2439322000536777
18 9504.2553288214003260 9501.5941318265849986
19 14704.7538043189997552 14694.7741102206455253
20 23437.0446057629997085 23423.0133576913322031
21 11068.8944966558992746 11062.3584692641015863
22 7218.8326345490004314 7218.1866616436782351
23 6123.8572218842000439 6125.4352044354345708
24 25997.1168068131992186 25989.6468219474372745
25 6162.3733332430001610 6162.7436908926974866
26 6208.7860987393996766 6209.9902205078360566
27 6230.7047723846999361 6232.1886793693465734
28 28428.8224942058004672 28434.2247016205983527
29 22787.9611558502001571 22778.3778026425279677
30 7659.3433642899999541 7658.5786133677393082
31 11835.9486012830002437 11831.9466953033916070
32 7660.9285483550002027 7662.3595168496613041
33 24280.7182627559996035 24270.0099332552126725
34 8397.0184231422008452 8391.3564726924905699
35 6064.7203434032999212 6065.3969777386137139
36 13016.8699199466991558 13019.3563211809523636
37 13279.5631496387995867 13277.6842615249224764
38 13237.6079861527996400 13235.2613040675951197
39 6450.2951667614997859 6451.1495859475162433
40 26079.2078203263008618 26071.3554309943974658
41 6855.1667021842004033 6855.9576024588786822
42 14211.5897873098001583 14211.2792087370198715
43 7458.6458547184001873 7456.9091235643172695
44 20078.4286106576000748 20074.9163274489546893
45 16742.3172913208982209 16749.9082941579399630
