Wall time,Step,Value
1655554504.4624104,4,212.86166381835938
1655554518.8745894,18,60.066226959228516
1655554541.5363011,40,23.03574562072754
1655554548.7294703,47,19.422006607055664
1655554549.7590268,48,18.994091033935547
1655554564.1403866,62,14.539291381835938
1655554565.176258,63,14.2662935256958
1655554573.3953261,71,12.392997741699219
1655554579.5939696,77,11.191014289855957
1655554584.763306,82,10.376522064208984
1655554592.0027082,89,9.4806489944458
1655554602.256613,99,8.652216911315918
1655554606.3167343,103,8.429611206054688
1655554610.39055,107,8.112739562988281
1655554624.585116,121,7.308388710021973
1655554631.7700589,128,6.960071086883545
1655554633.8433175,130,6.837349891662598
1655554648.1196902,144,6.163108825683594
1655554651.1923037,147,6.062285423278809
1655554661.4945323,157,5.699276924133301
1655554664.5276837,160,5.593908786773682
1655554666.541181,162,5.520050048828125
1655554668.572602,164,5.450923919677734
1655554676.7862763,172,5.163027763366699
1655554696.1460397,191,4.665573596954346
1655554708.414297,203,4.326016426086426
1655554710.4752734,205,4.282188415527344
1655554718.6791737,213,4.112598896026611
1655554735.1102457,229,3.7938880920410156
1655554750.4837732,244,3.538461685180664
1655554751.5166545,245,3.519895553588867
1655554764.781308,258,3.3101489543914795
1655554765.7909184,259,3.296907424926758
1655554777.9927006,271,3.1314404010772705
1655554781.070638,274,3.089740514755249
1655554789.1769328,282,2.9961037635803223
1655554792.2078547,285,2.9634766578674316
1655554802.4465537,295,2.8492021560668945
1655554823.7831357,316,2.660630702972412
1655554826.843225,319,2.639401912689209
1655554829.909449,322,2.6135237216949463
1655554854.345938,346,2.455657482147217
1655554866.595327,358,2.3871939182281494
1655554872.6687562,364,2.3555400371551514
1655554874.6903608,366,2.347165584564209
1655554886.8938112,378,2.294273853302002
1655554895.0547156,386,2.2630951404571533
1655554899.1227646,390,2.2462382316589355
1655554901.1607761,392,2.2371201515197754
1655554911.3213131,402,2.1961829662323
1655554913.3447561,404,2.18881893157959
1655554924.4967856,415,2.142427682876587
1655554931.5473392,422,2.1113133430480957
1655554945.7101297,436,2.062228202819824
1655554946.7481334,437,2.0588550567626953
1655554948.758892,439,2.052046775817871
1655554955.7856696,446,2.0293726921081543
1655554970.9624069,461,1.9823511838912964
1655554974.9799678,465,1.9705928564071655
1655554984.0605989,474,1.9451417922973633
1655554985.06642,475,1.9422259330749512
1655554990.0731163,480,1.926742672920227
1655554991.0707085,481,1.9241623878479004
1655554997.1292052,487,1.9071791172027588
1655555020.479066,510,1.8446160554885864
1655555022.484201,512,1.8401697874069214
1655555023.494511,513,1.8380624055862427
1655555024.4846523,514,1.8360826969146729
1655555027.509471,517,1.8275514841079712
1655555043.6067433,533,1.7937064170837402
1655555044.6337562,534,1.791731834411621
1655555046.6742585,536,1.7862664461135864
1655555048.6865537,538,1.7819572687149048
1655555050.7322419,540,1.7772667407989502
1655555056.78258,546,1.766021728515625
1655555062.8226638,552,1.7523456811904907
1655555066.866725,556,1.7423720359802246
1655555072.893934,562,1.7308059930801392
1655555074.9091494,564,1.7271161079406738
1655555078.9377382,568,1.7201379537582397
1655555101.0338945,590,1.6818604469299316
1655555105.0969646,594,1.6745458841323853
1655555107.10847,596,1.6702539920806885
1655555134.3175225,623,1.6213748455047607
1655555139.361418,628,1.6120705604553223
1655555140.3782904,629,1.609878420829773
1655555148.418181,637,1.592070460319519
1655555154.4835129,643,1.579313039779663
1655555155.495569,644,1.577004313468933
1655555169.647748,658,1.552276372909546
1655555178.6769712,667,1.5366203784942627
1655555186.7573266,675,1.5230768918991089
1655555203.910042,692,1.4938359260559082
1655555205.91808,694,1.4914182424545288
1655555233.0858827,721,1.455747365951538
1655555237.100575,725,1.4502592086791992
1655555243.172801,731,1.442540168762207
1655555256.2654576,744,1.4258511066436768
1655555276.4153178,764,1.4003504514694214
1655555287.5273085,775,1.3874032497406006
1655555288.546402,776,1.3861626386642456
1655555294.6209812,782,1.3791446685791016
1655555300.668924,788,1.371021032333374
1655555316.836165,804,1.3502341508865356
1655555317.8469687,805,1.3491239547729492
1655555319.8553212,807,1.3470083475112915
1655555331.9672356,819,1.333215594291687
1655555345.0650454,832,1.3169724941253662
1655555370.2218752,857,1.2914881706237793
1655555379.3075802,866,1.2831114530563354
1655555384.3674612,871,1.277847170829773
1655555399.4661918,886,1.2631025314331055
1655555410.6306276,897,1.2496769428253174
1655555414.676048,901,1.2448015213012695
1655555443.830921,930,1.2205300331115723
1655555455.9380798,942,1.2112799882888794
1655555462.9464169,949,1.2053922414779663
1655555477.0268002,963,1.1934504508972168
1655555513.3580542,999,1.164018154144287
1655555516.362712,1002,1.1617541313171387
1655555518.3830488,1004,1.160162091255188
1655555529.4758334,1015,1.151329517364502
1655555536.520997,1022,1.1461212635040283
1655555540.5481288,1026,1.1427863836288452
1655555542.5545733,1028,1.1413378715515137
1655555551.6307406,1037,1.1339668035507202
1655555570.7854614,1056,1.1200225353240967
1655555584.8618686,1070,1.1088842153549194
1655555585.8689735,1071,1.108272671699524
1655555587.8778043,1073,1.1070154905319214
1655555591.89523,1077,1.1042817831039429
1655555600.9806323,1086,1.0978507995605469
1655555613.0840247,1098,1.0889463424682617
1655555617.1251152,1102,1.086068868637085
1655555619.1401732,1104,1.0847845077514648
1655555622.186105,1107,1.0829302072525024
1655555624.1843681,1109,1.0816649198532104
1655555626.200035,1111,1.0806872844696045
1655555636.2431905,1121,1.0751391649246216
1655555640.274127,1125,1.0726687908172607
1655555647.3143215,1132,1.0678130388259888
1655555649.322655,1134,1.0663615465164185
1655555661.4004638,1146,1.059640884399414
1655555666.3985536,1151,1.057339072227478
1655555667.3986475,1152,1.056818962097168
1655555679.4455612,1164,1.04960036277771
1655555689.4854918,1174,1.0431110858917236
1655555691.4891975,1176,1.0417654514312744
1655555699.548376,1184,1.0366787910461426
1655555708.5984051,1193,1.0313124656677246
1655555709.604843,1194,1.030500888824463
1655555729.724646,1214,1.0200910568237305
1655555733.7450435,1218,1.017774224281311
1655555740.7743483,1225,1.0134402513504028
1655555761.87894,1246,1.0025057792663574
1655555766.9172258,1251,0.9996888637542725
1655555767.9332967,1252,0.9991437196731567
1655555769.9776225,1254,0.9984314441680908
1655555772.9839547,1257,0.9969994425773621
1655555776.9953785,1261,0.9946969747543335
1655555783.0340674,1267,0.9918162822723389
1655555787.0486012,1271,0.9894899129867554
1655555792.0582035,1276,0.9873939752578735
1655555798.0854075,1282,0.9851187467575073
1655555814.2088943,1298,0.977729856967926
1655555822.2696888,1306,0.9741280674934387
1655555831.57945,1315,0.9702103734016418
1655555838.8620024,1322,0.9672215580940247
1655555841.9093306,1325,0.9658344984054565
1655555861.9754133,1345,0.9576603174209595
1655555877.0706637,1360,0.9519888162612915
1655555881.0819068,1364,0.9504587054252625
1655555892.1259031,1375,0.9468304514884949
1655555893.123796,1376,0.9463995695114136
1655555897.1075566,1380,0.944706380367279
1655555934.1309304,1417,0.9305871725082397
1655555955.1450913,1438,0.9223525524139404
1655555956.1444924,1439,0.9220853447914124
1655555974.1705012,1457,0.9160628914833069
1655555975.1574328,1458,0.9157874584197998
1655555978.1500106,1461,0.9146254062652588
1655555991.132853,1474,0.9103710651397705
1655555993.126467,1476,0.909731388092041
1655556004.147202,1487,0.9058210253715515
1655556007.1636035,1490,0.9050582051277161
1655556011.2022488,1494,0.9038748741149902
1655556019.2109702,1502,0.9017086029052734
1655556026.209142,1509,0.8998969197273254
1655556027.2038934,1510,0.899559497833252
1655556030.2001457,1513,0.898740291595459
1655556033.2381597,1516,0.8977572917938232
1655556045.2506702,1528,0.8938729763031006
1655556055.2056377,1538,0.8907356858253479
1655556065.2486916,1548,0.887157142162323
1655556068.2628124,1551,0.8863235116004944
1655556082.3006973,1565,0.8825552463531494
1655556085.3089383,1568,0.8816384077072144
1655556090.3040605,1573,0.8799092173576355
1655556093.3226502,1576,0.8789750933647156
1655556102.3711746,1585,0.8760514855384827
1655556113.8023198,1596,0.8724082112312317
1655556118.7874312,1601,0.8707070350646973
1655556120.7799075,1603,0.8700432181358337
1655556144.8063698,1627,0.8621903657913208
1655556152.8026493,1635,0.8595497608184814
1655556154.7976367,1637,0.8588759899139404
1655556164.7781274,1647,0.8555111885070801
1655556171.7623153,1654,0.8528275489807129
1655556187.7701185,1670,0.8481146693229675
1655556196.9090774,1679,0.8453262448310852
1655556202.898519,1685,0.8436260223388672
1655556211.902801,1694,0.8409122824668884
1655556219.8748195,1702,0.8381494879722595
1655556221.880163,1704,0.8375316262245178
1655556224.8815558,1707,0.8366938233375549
1655556228.8885067,1711,0.8355154991149902
1655556235.8663325,1718,0.8335061073303223
1655556240.8688414,1723,0.83196622133255
1655556247.8674679,1730,0.8302022814750671
1655556262.9343207,1745,0.8258041739463806
1655556271.9123487,1754,0.8235143423080444
1655556292.8653114,1775,0.8177539110183716
1655556294.85532,1777,0.8172606825828552
1655556306.8638961,1789,0.8143978714942932
1655556309.8454146,1792,0.8136767148971558
1655556317.8019593,1800,0.8118221759796143
1655556336.7386997,1819,0.8067295551300049
1655556364.628668,1847,0.7977808713912964
1655556368.6166933,1851,0.7969260811805725
1655556377.5935996,1860,0.7945370078086853
1655556382.5763333,1865,0.7929613590240479
1655556384.5737104,1867,0.7925289273262024
1655556405.52667,1888,0.7868079543113708
